id,animal_species,breed,name,cross,bio,status,arrival_date,leaving_date,gender,hair_type,hair_length,cage
1,Cat,Persian (modern),Sophie,1,,d,09/08/2017,12/01/2017,Female,Wiry,Short,
2,Cat,Savannah,Winston,1,,a,04/25/2018,,Male,Smooth,Long,
3,Cat,Korn Ja,Teddy,1,,a,02/25/2018,,Male,Fluffy,Long,
4,Cat,California Spangled,Roxy,1,,a,02/19/2018,,Female,Flat,Hairless,
5,Cat,Oriental Bicolor,Bailey,0,,q,06/16/2018,,Male,Curly,Medium,
6,Dog,Chihuahua,Lucy,0,,r,10/12/2017,,Female,Wiry,Hairless,
7,Cat,Sam Sawet,Buddy,1,,d,03/26/2018,06/05/2018,Male,Curly,Short,
8,Dog,Tornjak,Max,0,,q,12/15/2017,,Male,Wiry,Hairless,
9,Cat,Maine Coon,Angel,1,,a,03/18/2018,,Female,Curly,Short,
10,Dog,Plott Hound,Sasha,0,,d,02/06/2018,02/26/2018,Female,Wiry,Medium,
11,Cat,Colorpoint Persian[b],Lola,1,,r,02/12/2018,,Female,Fluffy,Medium,
12,Dog,German Spaniel,Ginger,0,,a,10/21/2017,,Female,Flat,Long,
13,Dog,Podenco Canario,Lucky,0,,q,03/02/2018,,Male,Wiry,Hairless,
14,Dog,Northern Inuit Dog,Sadie,0,,q,05/12/2018,,Female,Wiry,Short,
15,Dog,Mudhol Hound,Murphy,1,,q,10/08/2017,,Male,Flat,Short,
16,Dog,Tenterfield Terrier,Abby,0,,r,11/13/2017,,Female,Curly,Long,
17,Cat,German Rex,Cody,1,,r,06/03/2018,,Male,Wiry,Hairless,
18,Dog,Georgian Shepherd Dog,Molly,0,,r,10/19/2017,,Female,Flat,Hairless,
19,Cat,Devon Rex,Rosie,0,,r,01/20/2018,,Female,Smooth,Hairless,
20,Dog,White Shepherd,Bella,0,,r,09/13/2017,,Female,Fluffy,Hairless,
21,Dog,Terceira Mastiff,Harley,1,,r,12/09/2017,,Male,Fluffy,Hairless,
22,Dog,Seskar Seal Dog,Coco,1,,a,07/03/2018,,Female,Flat,Hairless,
23,Dog,Saarloos Wolfdog,Duke,1,,d,03/12/2018,05/24/2018,Male,Fluffy,Short,
24,Cat,Chartreux,Angel,1,,r,11/14/2017,,Female,Wiry,Medium,
25,Cat,Korat,Daisy,1,,d,10/19/2017,06/01/2018,Female,Wiry,Short,
26,Cat,Colorpoint Persian[b],Oliver,1,,r,11/14/2017,,Male,Flat,Medium,
27,Cat,Peterbald,Bear,0,,a,06/14/2018,,Male,Smooth,Medium,
28,Cat,Egyptian Mau,Riley,0,,d,03/23/2018,07/22/2018,Male,Fluffy,Hairless,
29,Dog,Shetland Sheepdog,Molly,0,,a,07/30/2018,,Female,Wiry,Medium,
30,Dog,White Shepherd,Maggie,1,,a,03/03/2018,,Female,Fluffy,Long,
31,Cat,Maine Coon,Gracie,1,,q,12/30/2017,,Female,Flat,Hairless,
32,Cat,Chausie,Charlie,0,,d,12/03/2017,08/07/2018,Male,Smooth,Medium,
33,Cat,Persian (traditional),Angel,0,,a,11/11/2017,,Female,Flat,Hairless,
